,,Source State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN  ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,CANADA,TOTAL
Recovery State,ALABAMA,"2,166",2,4,9,11,9,2,0,0,72,139,0,0,3,10,8,1,2,11,22,0,2,1,7,2,77,6,0,0,2,1,0,1,0,17,0,12,7,3,13,1,0,16,1,45,33,0,2,0,12,2,6,3,3,0,"2,746"
,ALASKA,0,458,4,0,8,5,0,0,0,5,3,0,0,4,2,0,1,3,3,2,0,0,1,3,6,1,1,3,1,4,0,1,3,2,0,0,2,2,13,4,0,0,2,1,2,8,0,5,0,2,10,1,4,2,0,582
,ARIZONA,11,12,"4,660",7,188,52,10,4,1,29,25,0,1,8,30,28,15,20,8,14,1,3,9,24,25,16,17,17,18,49,7,4,49,9,18,4,34,25,25,32,0,2,3,0,18,88,0,25,0,20,55,10,19,13,0,"5,762"
,ARKANSAS,2,0,4,400,10,2,0,0,0,3,4,0,0,1,1,3,1,2,5,12,0,0,0,3,3,8,7,1,0,1,0,0,0,1,0,0,4,15,1,1,0,0,2,0,9,25,0,2,0,1,1,1,2,0,0,538
,CALIFORNIA,86,51,"1,029",84,"13,106",131,17,1,0,159,149,1,5,120,87,60,29,47,54,110,5,17,18,38,37,66,73,68,28,550,11,7,102,39,69,9,112,141,348,69,0,2,28,7,57,435,0,163,10,70,287,21,41,26,0,"18,280"
,COLORADO,8,3,40,5,42,"1,076",2,1,0,27,8,0,0,2,10,5,7,16,4,5,1,0,3,11,4,5,5,6,8,7,3,3,42,5,12,2,10,16,8,6,0,1,6,4,12,73,0,10,2,7,7,1,8,24,0,"1,573"
,CONNECTICUT,5,0,4,0,10,1,349,0,0,21,16,0,0,0,3,2,0,1,4,4,8,3,5,1,0,0,1,0,0,2,14,1,0,40,29,0,18,1,0,19,0,2,12,0,4,5,0,3,13,16,1,4,2,0,0,624
,DELAWARE,3,0,4,0,4,1,1,351,0,13,15,0,0,1,0,5,0,1,4,1,2,54,0,2,0,3,1,0,0,3,0,7,0,5,19,1,5,1,1,77,0,0,9,0,2,13,0,1,0,15,1,5,0,0,0,631
,DST OF COLUMBIA,14,1,7,3,13,5,3,3,26,21,43,0,0,2,3,3,0,2,12,8,0,220,1,5,4,8,3,1,0,4,0,2,1,4,74,0,17,2,0,19,0,0,34,0,11,16,0,1,1,268,2,21,1,2,0,891
,FLORIDA,252,18,50,28,92,39,27,4,0,"10,784",459,1,1,6,61,94,6,19,64,92,17,41,42,73,20,64,32,17,4,19,26,24,21,104,146,3,152,35,13,82,6,2,95,1,112,195,2,16,7,124,37,32,28,5,0,"13,694"
,GEORGIA,285,10,19,21,51,15,6,1,0,287,"6,480",0,4,4,29,30,6,17,40,48,3,12,5,22,7,62,19,3,5,9,3,3,7,14,103,0,56,14,5,33,0,1,213,5,119,103,0,4,8,60,11,9,8,1,1,"8,281"
,GUAM,0,1,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24
,HAWAII,1,2,2,0,15,2,0,0,0,1,0,0,55,3,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,2,0,2,0,1,5,1,0,0,0,105
,IDAHO,1,2,9,1,24,4,0,0,0,4,2,0,1,400,2,3,0,2,0,2,1,0,1,4,0,1,1,16,1,10,0,0,0,1,3,1,2,1,24,5,0,0,1,1,2,6,0,9,1,1,34,3,4,4,0,595
,ILLINOIS,103,12,55,89,69,18,5,4,0,117,125,0,1,2,"3,691","1,154",81,35,149,55,6,5,6,82,58,315,160,9,15,21,3,3,12,16,39,3,128,32,7,48,0,0,25,5,128,132,0,14,2,46,16,21,221,6,0,"7,349"
,INDIANA,19,0,8,7,34,6,3,0,0,28,29,0,0,0,60,"3,383",6,6,95,11,0,5,4,56,7,17,7,3,2,4,1,2,2,7,13,1,48,9,2,10,0,0,10,1,21,41,0,1,1,13,4,9,9,0,0,"4,005"
