,,Source State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IOWA,1,3,10,3,7,7,2,1,0,6,5,0,0,1,40,7,678,14,4,8,1,0,1,3,10,11,22,1,48,3,1,0,1,3,4,1,9,1,2,4,0,0,0,7,2,11,0,2,0,1,2,0,7,1,0,956
,KANSAS,5,2,17,11,19,32,0,0,0,15,11,0,1,4,5,6,8,"1,287",6,3,0,2,0,4,7,7,177,2,9,5,1,0,14,4,7,0,2,66,10,5,1,0,2,3,4,35,0,4,0,8,3,3,4,4,0,"1,825"
,KENTUCKY,14,1,4,6,13,6,3,0,0,29,20,0,1,1,14,134,2,5,"1,709",9,0,4,3,18,4,10,12,0,1,4,1,3,2,6,11,0,67,4,2,6,0,0,2,1,61,25,0,1,0,10,1,15,4,0,0,"2,249"
,LOUISIANA,50,3,20,37,27,16,3,1,0,68,64,0,0,2,8,13,0,16,15,"3,963",1,4,2,9,2,184,14,3,4,10,0,2,2,4,16,1,18,14,2,10,1,1,13,0,29,237,0,7,0,14,6,5,7,1,0,"4,929"
,MAINE,0,1,1,0,4,1,2,0,0,2,1,0,0,0,0,0,1,0,0,0,320,0,10,0,0,0,0,0,0,0,15,1,0,0,5,0,3,1,3,3,0,0,0,0,2,3,0,0,1,3,0,0,0,1,0,384
,MARYLAND,20,3,18,11,29,18,12,52,7,99,103,0,2,2,14,14,4,6,38,13,6,"2,947",6,8,3,15,13,4,8,5,5,11,7,28,168,1,76,21,7,293,0,3,74,2,25,58,0,7,1,476,10,170,5,2,0,"4,930"
,MASSACHUSETTS,12,1,5,1,13,8,8,2,0,45,42,0,0,1,4,5,3,2,8,3,72,0,453,1,0,3,3,0,1,2,129,2,4,8,33,1,13,3,0,13,0,14,24,0,4,15,0,1,12,15,5,4,1,0,0,999
,MICHIGAN,64,2,17,18,22,4,2,0,1,42,62,0,0,2,22,75,4,7,91,14,1,0,4,"1,892",7,32,8,1,1,4,0,0,1,7,17,1,154,7,2,22,0,0,17,2,55,41,0,2,0,23,6,48,10,7,0,"2,821"
,MINNESOTA,7,5,22,9,18,4,0,1,0,13,18,0,0,5,26,34,16,17,11,4,1,0,0,9,"1,128",19,11,5,5,5,1,1,1,5,6,21,16,12,4,10,0,2,10,24,8,24,0,4,1,5,5,1,90,2,0,"1,646"
,MISSISSIPPI,59,0,4,22,11,2,0,1,0,29,29,0,0,1,7,6,1,0,7,93,2,2,2,8,1,"1,516",4,0,1,3,0,1,2,1,6,0,2,2,1,3,0,0,5,0,41,45,0,3,0,3,4,4,4,0,0,"1,938"
,MISSOURI,9,7,18,51,25,15,2,0,0,23,27,0,0,3,138,16,12,151,15,20,1,4,1,13,8,34,"2,092",1,14,11,2,2,4,8,10,4,13,36,3,7,1,0,5,3,25,45,0,4,0,9,6,9,4,1,0,"2,912"
,MONTANA,0,0,6,1,5,3,0,0,0,0,0,0,1,2,1,2,0,0,2,0,2,1,8,1,1,0,1,261,1,10,1,0,0,3,0,3,1,1,5,3,0,0,1,1,3,5,0,3,0,1,12,1,6,4,0,363
,NEBRASKA,2,0,7,10,12,9,1,0,0,15,10,0,0,1,6,6,74,11,2,7,0,0,0,0,8,3,19,4,628,4,0,0,1,0,2,4,3,10,2,2,0,0,5,13,3,22,0,2,1,2,5,7,3,1,0,927
,NEVADA,5,4,103,8,213,21,8,1,0,29,18,0,1,13,20,11,4,6,7,7,1,3,2,14,7,3,12,10,2,"1,408",1,2,14,10,5,2,26,7,20,11,0,0,5,1,8,32,0,48,2,9,19,5,6,3,0,"2,177"
,NEW HAMPSHIRE,1,0,8,1,2,2,2,0,0,4,3,0,0,0,0,0,0,0,0,1,18,1,16,1,1,1,0,0,0,0,120,0,1,2,2,0,3,1,0,1,0,0,0,0,0,2,0,0,6,1,1,0,1,0,0,203
,NEW JERSEY,31,4,18,5,22,9,12,30,0,127,152,0,0,37,9,18,1,7,19,21,4,25,7,9,5,16,11,2,1,12,10,425,2,56,199,0,75,6,3,278,0,1,134,1,24,38,0,1,11,194,2,36,0,2,0,"2,112"
,NEW MEXICO,1,1,38,1,24,26,0,0,0,10,8,0,0,1,3,2,0,6,2,2,1,2,1,4,1,3,2,3,2,6,1,1,697,2,2,0,8,8,3,4,0,0,0,4,4,86,0,1,1,4,6,0,0,4,0,986
,NEW YORK,74,8,42,14,57,23,41,12,1,348,343,1,0,4,17,40,1,9,53,31,32,37,31,27,7,39,9,11,2,14,14,33,4,"1,552",311,4,183,13,9,367,1,5,283,5,48,107,0,7,41,458,11,53,11,2,0,"4,850"
,NORTH CAROLINA,57,23,22,24,55,18,14,4,0,185,216,0,0,4,21,34,7,15,49,38,1,22,15,30,10,26,22,9,3,8,11,8,9,46,"5,906",0,91,20,9,68,0,4,431,1,82,91,0,2,4,317,14,81,14,1,0,"8,142"
,NORTH DAKOTA,0,1,3,0,3,6,0,0,0,1,1,0,0,3,2,0,0,0,1,1,2,0,0,1,12,0,3,8,2,0,0,0,2,1,0,99,0,2,1,1,0,0,0,1,0,3,0,2,0,0,0,0,2,2,0,166
,OHIO,31,4,30,20,29,14,4,0,0,76,58,0,0,4,18,130,5,6,302,12,8,6,8,71,4,22,13,3,6,10,3,1,8,10,37,3,"5,375",10,5,82,0,0,16,1,38,50,0,2,1,32,13,107,9,3,0,"6,700"
,OKLAHOMA,4,1,14,23,18,6,1,0,0,12,3,0,0,2,4,6,1,22,4,4,1,0,1,7,1,1,9,2,3,7,1,0,3,3,2,0,8,793,1,3,0,0,6,2,11,62,0,3,0,6,4,2,3,1,0,"1,071"
,OREGON,3,10,36,8,124,9,0,0,0,12,13,0,0,39,5,6,2,6,5,1,1,3,4,4,6,7,1,14,0,21,0,0,12,7,3,2,3,9,"1,477",0,0,0,0,0,4,21,0,9,0,2,139,2,4,7,0,"2,041"
,PENNSYLVANIA,27,6,22,10,42,24,11,64,0,94,99,0,2,4,13,14,2,8,29,16,5,53,10,15,5,9,11,2,3,7,5,47,8,52,65,2,115,11,5,"4,987",0,2,92,3,14,64,0,5,7,118,11,63,9,1,0,"6,293"
,PUERTO RICO,2,2,5,3,7,1,3,0,0,340,17,0,0,0,4,3,0,2,4,0,1,0,1,4,1,0,1,1,0,2,0,2,0,2,8,0,11,3,1,7,163,1,0,0,4,34,0,0,0,5,2,1,1,0,0,649
,RHODE ISLAND,3,0,1,0,1,0,4,1,0,8,5,0,0,0,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,1,7,0,0,2,3,0,6,0,1,1,0,126,1,0,2,4,0,0,3,2,0,1,0,0,0,209
,SOUTH CAROLINA,18,0,13,7,11,17,3,3,1,67,123,0,0,2,6,12,2,4,14,10,4,6,1,4,1,9,7,1,1,4,4,2,2,14,210,1,30,6,2,19,0,1,"2,102",0,48,24,0,0,0,40,4,14,4,0,0,"2,878"
,SOUTH DAKOTA,0,0,3,0,2,5,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1,4,0,1,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,109,0,2,0,0,0,0,1,0,1,0,0,143
,TENNESSEE,85,2,16,91,35,9,4,1,0,83,204,0,0,1,20,28,3,5,98,34,2,6,1,27,6,240,22,1,2,1,0,3,3,17,40,1,44,15,2,20,2,0,27,2,"2,570",58,0,0,0,54,9,16,8,2,0,"3,920"
,TEXAS,45,13,66,78,106,49,8,1,0,96,75,0,12,12,43,31,7,45,29,225,4,10,9,32,16,69,40,8,17,21,8,4,51,10,49,5,40,154,20,21,1,2,14,1,46,"7,809",0,18,0,33,40,8,12,9,0,"9,522"
,US VIRGIN ISLANDS,2,0,1,1,2,0,0,0,0,30,5,0,0,0,1,3,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,5,33,0,0,0,1,0,0,0,0,95
,UTAH,3,2,16,1,27,10,2,0,0,6,4,0,0,11,1,2,2,0,2,1,1,1,2,0,0,0,5,3,3,21,0,0,5,4,3,0,2,1,10,13,1,0,2,2,5,12,0,567,0,4,3,0,6,11,0,777
,VERMONT,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,3,1,2,0,1,0,0,0,1,0,12,1,0,10,3,0,1,0,0,6,0,0,0,0,0,2,0,0,125,2,0,0,0,0,0,179
,VIRGINIA,25,5,14,7,36,15,10,6,3,78,69,0,0,2,11,10,3,7,31,25,2,57,4,21,6,14,8,3,0,16,3,10,3,22,176,0,29,13,4,65,0,1,40,1,37,41,0,1,2,"4,070",10,51,4,1,0,"5,072"
,WASHINGTON,4,24,40,5,97,16,6,1,0,22,7,0,4,74,13,10,2,7,5,6,2,1,2,9,9,11,10,33,4,19,0,1,4,3,10,3,8,6,152,6,0,0,5,3,5,40,0,19,0,6,"1,840",3,7,3,1,"2,568"
,WEST VIRGINIA,1,2,2,3,2,2,1,1,0,6,3,0,0,1,1,7,1,0,24,1,0,29,0,1,1,0,1,0,0,0,0,1,1,0,13,0,47,1,0,21,0,0,6,0,3,7,0,0,1,30,0,472,2,0,0,695
,WISCONSIN,14,7,9,9,8,3,2,0,0,11,22,0,1,2,73,46,9,4,7,6,0,0,2,12,31,42,11,4,1,6,1,2,1,4,3,1,10,5,3,14,0,0,0,2,10,22,0,0,0,6,3,3,"1,734",1,0,"2,167"
,WYOMING,1,0,2,0,6,6,0,0,0,4,0,0,0,5,0,0,0,1,3,0,0,0,0,3,0,0,0,6,5,1,0,0,2,0,1,1,1,1,0,2,0,0,0,3,1,3,0,6,0,3,3,0,0,102,0,172
,TOTAL,"3,636",719,"6,573","1,153","14,813","1,782",596,553,40,"13,611","9,338",17,94,802,"4,559","5,510","1,009","1,850","3,049","4,967",553,"3,591",723,"2,592","1,489","2,991","2,912",554,864,"2,337",426,624,"1,112","2,153","7,879",188,"7,096","1,565","2,223","6,796",179,173,"3,778",224,"3,770","10,360",35,989,265,"6,622","2,674","1,330","2,333",265,2,"156,346"
