Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,
Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery,Firearm Types with a Virginia Recovery
"January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011","January 1, 2011 – December 31, 2011",
,"3,712",,,,,,,
"1,163",,,,,,,,
,"1,033",,,,,,,
,735,,,,,,,
,63,42,6,5,4,1,1,1
"Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information","Bureau of Alcohol, Tobacco, Firearms and Explosives, Office of Strategic Intelligence and Information"
