,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Firearm Type ,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
,PISTOL,"2,108",377,"4,350",362,"13,985","1,256",585,444,841,"10,676","6,480",13,69,354,"6,041","2,998",542,"1,394","1,831","3,881",202,"3,024",845,"2,281","1,168","1,451","2,462",199,583,"1,587",143,"1,943",645,"4,208","5,410",78,"5,520",734,"1,362","4,916",713,171,"2,128",43,"2,990","7,163",120,779,101,"3,921","1,814",384,"1,490",108,"119,273"
,REVOLVER,771,123,"1,092",125,"6,900",353,264,178,347,"3,721","2,244",5,52,157,"2,914",941,211,378,638,"1,251",71,"1,482",406,912,413,665,759,94,216,562,39,960,246,"2,219","2,271",31,"1,833",250,572,"1,999",76,74,827,24,"1,420","2,140",27,147,47,"1,224",635,160,521,50,"46,037"
,RIFLE,835,187,"1,528",254,"5,995",471,265,165,108,"2,714","1,528",13,58,226,"1,314",848,370,435,486,754,171,"1,897",192,611,574,358,626,156,279,483,58,342,381,"1,248","1,938",85,944,510,802,"1,380",115,28,539,84,936,"2,507",7,423,100,"1,196",802,252,543,91,"39,212"
,SHOTGUN,465,101,823,154,"3,939",205,143,184,111,"1,898","1,132",7,23,120,"1,209",760,330,302,324,615,99,"1,515",138,485,406,291,439,54,225,301,37,321,204,918,"1,806",36,881,192,380,972,18,29,416,62,819,"1,593",3,125,34,935,475,149,392,28,"27,623"
,DERRINGER,47,5,51,9,280,35,10,6,10,170,112,0,2,10,124,52,15,18,39,64,6,40,14,39,21,54,42,3,8,16,1,24,19,97,104,3,99,8,33,78,0,2,31,1,62,85,0,9,2,60,30,10,20,2,"2,082"
,MACHINEGUN,15,4,31,11,52,7,13,2,0,43,128,0,4,1,22,52,1,4,10,14,2,14,1,20,11,4,12,1,0,5,0,4,4,20,10,0,10,3,7,10,1,1,5,9,20,32,1,17,0,23,7,1,9,1,679
,RECEIVER/FRAME,12,1,16,0,23,2,3,0,0,14,5,1,0,1,37,51,2,2,2,4,0,8,1,2,3,1,7,0,0,0,0,0,1,5,7,0,10,2,3,1,2,0,4,0,4,24,0,20,0,7,8,2,2,0,300
,COMBINATION GUN,2,0,3,2,31,3,1,0,2,14,6,0,0,1,8,8,0,0,2,3,1,17,0,1,0,0,6,0,0,0,0,1,0,1,5,0,3,1,3,10,0,0,1,2,4,8,0,0,0,49,0,2,1,1,203
,UNKNOWN TYPE,0,1,15,0,15,1,0,0,0,9,4,0,0,0,9,1,2,1,20,0,0,3,1,4,5,2,1,0,0,0,0,0,0,10,3,0,9,3,0,4,0,0,0,0,42,5,0,1,1,14,4,0,1,0,191
,SILENCER,19,0,57,0,6,1,0,0,0,9,2,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,113
,ANY OTHER WEAPON,2,0,6,0,8,1,0,0,0,8,3,0,1,0,2,2,2,1,0,0,3,3,0,0,1,0,4,0,0,0,0,0,0,2,3,0,1,1,2,1,0,0,0,0,2,8,0,3,0,2,6,2,0,0,80
,DESTRUCTIVE DEVICE,1,1,1,1,7,1,0,0,0,6,3,0,1,0,1,1,0,2,1,0,0,0,1,5,0,0,2,5,0,1,0,0,2,1,2,0,1,2,1,4,0,0,2,0,0,5,0,0,0,2,1,1,4,0,69
,FLARE GUN,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
,TEAR GAS LAUNCHER,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10
,TOTAL,"4,277",801,"7,974",918,"31,244","2,337","1,284",979,"1,419","19,287","11,647",39,210,870,"11,681","5,716","1,475","2,537","3,354","6,586",555,"8,008","1,600","4,360","2,603","2,826","4,362",513,"1,311","2,955",278,"3,595","1,503","8,731","11,560",233,"9,311","1,706","3,166","9,375",925,305,"3,953",225,"6,300","13,574",158,"1,524",285,"7,436","3,784",963,"2,984",281,"235,883"
